,X_timestamp,beat_hostname,enrichment_branch_name,system_cpu_idle_pct,system_cpu_iowait_pct,system_cpu_irq_pct,system_cpu_nice_pct,system_cpu_softirq_pct,system_cpu_steal_pct,system_cpu_system_pct,system_cpu_total_pct,system_cpu_user_pct,system_cpu_idle_pct.1,system_cpu_iowait_pct.1,system_cpu_irq_pct.1,system_cpu_nice_pct.1,system_cpu_softirq_pct.1,system_cpu_steal_pct.1,system_cpu_system_pct.1,system_cpu_total_pct.1,system_cpu_user_pct.1,system_cpu_idle_pct.2,system_cpu_iowait_pct.2,system_cpu_irq_pct.2,system_cpu_nice_pct.2,system_cpu_softirq_pct.2,system_cpu_steal_pct.2,system_cpu_system_pct.2,system_cpu_total_pct.2,system_cpu_user_pct.2,HBOS
0,134958,109,13,2.64,0,0,0,0,0,1.15,1.36,0.21,2.64,0,0,0,0,0,1.15,1.36,0.21,2.15,0,0,0,0,0,1.14,1.85,0.71,28.34775852019035
1,134946,152,19,3.24,0,0,0,0,0,0.58,0.76,0.18,3.24,0,0,0,0,0,0.58,0.76,0.18,3.67,0,0,0,0,0,0.24,0.33,0.1,25.642423737273056
2,134606,153,19,3.2,0,0,0,0,0,0.64,0.8,0.15,3.2,0,0,0,0,0,0.64,0.8,0.15,3.68,0,0,0,0,0,0.22,0.32,0.1,25.165302482553393
3,134744,111,13,3.3,0,0,0,0,0,0.52,0.7,0.18,3.3,0,0,0,0,0,0.52,0.7,0.18,3.72,0,0,0,0,0,0.21,0.28,0.06,22.648349002409198
4,134537,101,12,3.49,0,0,0,0,0,0.41,0.51,0.1,3.49,0,0,0,0,0,0.41,0.51,0.1,3.56,0,0,0,0,0,0.34,0.44,0.1,22.645052633779965
5,134721,91,11,3.52,0,0,0,0,0,0.35,0.48,0.13,3.52,0,0,0,0,0,0.35,0.48,0.13,3.56,0,0,0,0,0,0.3,0.44,0.14,22.645052633779965
6,134918,155,20,3.45,0,0,0,0,0,0.09,0.55,0.46,3.45,0,0,0,0,0,0.09,0.55,0.46,3.38,0,0,0,0,0,0.07,0.62,0.55,22.01192921664315
7,134653,79,9,3.34,0,0,0,0,0,0.07,0.66,0.59,3.34,0,0,0,0,0,0.07,0.66,0.59,3.32,0,0,0,0,0,0.13,0.68,0.55,21.659746698531787
8,134821,171,22,3.48,0,0,0,0,0,0.33,0.52,0.19,3.48,0,0,0,0,0,0.33,0.52,0.19,3.79,0,0,0,0,0,0.1,0.21,0.11,21.251568659264393
9,134522,41,5,3.54,0,0,0,0,0,0.08,0.46,0.38,3.54,0,0,0,0,0,0.08,0.46,0.38,3.4,0,0,0,0,0,0.2,0.6,0.4,21.133263828982624
10,134742,26,3,3.26,0,0,0,0,0,0.06,0.74,0.69,3.26,0,0,0,0,0,0.06,0.74,0.69,3.24,0,0,0,0,0,0.05,0.76,0.71,20.849410764776742
11,134805,133,16,3.45,0,0,0,0,0,0.45,0.55,0.1,3.45,0,0,0,0,0,0.45,0.55,0.1,3.81,0,0,0,0,0,0.16,0.19,0.03,19.100209755179733
12,134559,42,5,3.53,0,0,0,0,0,0.05,0.47,0.41,3.53,0,0,0,0,0,0.05,0.47,0.41,3.5,0,0,0,0,0,0.08,0.5,0.42,19.044716684588753
13,134810,5,1,3.56,0,0,0,0,0,0.29,0.44,0.16,3.56,0,0,0,0,0,0.29,0.44,0.16,3.71,0,0,0,0,0,0.21,0.29,0.08,18.899501896174016
14,134747,31,3,3.54,0,0,0,0,0,0.08,0.46,0.38,3.54,0,0,0,0,0,0.08,0.46,0.38,3.57,0,0,0,0,0,0.04,0.43,0.39,18.877833427319896
15,134728,51,6,3.51,0,0,0,0,0,0.39,0.49,0.11,3.51,0,0,0,0,0,0.39,0.49,0.11,3.87,0,0,0,0,0,0.11,0.13,0.03,18.799179759515752
16,134753,136,17,3.67,0,0,0,0,0,0.16,0.33,0.17,3.67,0,0,0,0,0,0.16,0.33,0.17,3.66,0,0,0,0,0,0.16,0.34,0.18,18.297472065232324
17,134836,71,7,3.78,0,0,0,0,0,0.16,0.22,0.06,3.78,0,0,0,0,0,0.16,0.22,0.06,3.26,0,0,0,0,0,0.55,0.74,0.19,18.17817299145263
18,134816,156,20,3.66,0,0,0,0,0,0.05,0.34,0.29,3.66,0,0,0,0,0,0.05,0.34,0.29,3.55,0,0,0,0,0,0.11,0.45,0.34,17.13765950674184
19,134850,75,8,3.62,0,0,0,0,0,0.3,0.38,0.09,3.62,0,0,0,0,0,0.3,0.38,0.09,3.85,0,0,0,0,0,0.11,0.15,0.04,16.981645519748483
20,134854,117,14,3.66,0,0,0,0,0,0.22,0.34,0.12,3.66,0,0,0,0,0,0.22,0.34,0.12,3.73,0,0,0,0,0,0.16,0.27,0.11,16.740528733309084
21,134554,45,5,3.56,0,0,0,0,0,0.07,0.44,0.37,3.56,0,0,0,0,0,0.07,0.44,0.37,3.53,0,0,0,0,0,0.05,0.47,0.42,16.4522623095951
22,134856,90,11,3.54,0,0,0,0,0,0.31,0.46,0.15,3.54,0,0,0,0,0,0.31,0.46,0.15,3.93,0,0,0,0,0,0.06,0.07,0.01,16.120248292300072
23,134834,120,14,3.71,0,0,0,0,0,0.21,0.29,0.08,3.71,0,0,0,0,0,0.21,0.29,0.08,3.75,0,0,0,0,0,0.19,0.25,0.06,15.937952883594022
24,134614,100,12,3.77,0,0,0,0,0,0.06,0.23,0.17,3.77,0,0,0,0,0,0.06,0.23,0.17,3.61,0,0,0,0,0,0.08,0.39,0.3,15.88478642476899
25,134851,33,4,3.65,0,0,0,0,0,0.2,0.35,0.15,3.65,0,0,0,0,0,0.2,0.35,0.15,3.89,0,0,0,0,0,0.07,0.11,0.04,15.685652236615207
26,134637,95,11,3.69,0,0,0,0,0,0.21,0.31,0.1,3.69,0,0,0,0,0,0.21,0.31,0.1,3.84,0,0,0,0,0,0.11,0.17,0.06,15.599939321676871
