,Unnamed: 0,X_timestamp,beat_hostname,enrichment_branch_name,system_memory_actual_free,system_memory_actual_used_bytes,system_memory_actual_used_pct,system_memory_free,system_memory_swap_free,system_memory_swap_used_bytes,system_memory_swap_used_pct,system_memory_used_bytes,system_memory_used_pct,system_diskio_io_time,system_diskio_read_count,system_diskio_read_time,system_diskio_write_bytes,system_diskio_write_count,system_diskio_write_time,system_cpu_idle_pct,system_cpu_iowait_pct,system_cpu_irq_pct,system_cpu_nice_pct,system_cpu_softirq_pct,system_cpu_steal_pct,system_cpu_system_pct,system_cpu_total_pct,system_cpu_user_pct,HBOS
0,140,133253,136,17,9.779,6.112,38.46,9.779,8.844,8.047,47.64,6.112,38.46,0,0,0,0.0,0,0,3.66,0,0,0,0,0,0.18,0.34,0.16,24.617479990943394
1,108,133125,28,3,11.337,4.553999999999999,28.66,11.337,11.295,5.596,33.13,4.553999999999999,28.66,0,0,0,3.0,0,0,3.86,0,0,0,0,0,0.11,0.14,0.03,23.994985339279076
2,133,133238,86,10,10.450999999999999,5.44,34.23,10.450999999999999,12.425,6.341,33.79,5.44,34.23,0,0,0,0.0,0,0,3.66,0,0,0,0,0,0.21,0.34,0.12,23.95472215926182
3,114,133055,80,9,10.825999999999999,5.065,31.87,10.825999999999999,10.481,6.41,37.95,5.065,31.87,0,0,0,0.0,0,0,3.78,0,0,0,0,0,0.17,0.22,0.05,23.746446216834737
4,151,133022,41,5,11.062000000000001,4.829,30.39,11.062000000000001,12.796,5.97,31.81,4.829,30.39,0,0,0,0.0,0,0,3.54,0,0,0,0,0,0.09,0.46,0.37,23.48078224530273
5,106,133158,115,14,11.513,4.378,27.55,11.513,12.102,4.789,28.35,4.378,27.55,0,0,0,0.0,0,0,3.91,0,0,0,0,0,0.06,0.09,0.03,22.313744101903488
6,124,133354,117,14,11.565,4.3260000000000005,27.23,11.565,14.050999999999998,4.715,25.12,4.3260000000000005,27.23,0,0,0,0.0,0,0,3.71,0,0,0,0,0,0.19,0.29,0.09,21.554347678324344
7,79,133105,76,8,11.027000000000001,4.864,30.61,11.027000000000001,12.034,4.857,28.76,4.864,30.61,0,0,0,0.0,0,0,3.91,0,0,0,0,0,0.07,0.09,0.02,21.519202435331675
8,104,133153,79,9,11.658,4.2330000000000005,26.64,11.658,12.457,4.434,26.25,4.2330000000000005,26.64,0,0,0,0.0,0,0,3.86,0,0,0,0,0,0.1,0.14,0.03,21.15911234434375
9,8,133333,186,21,10.357999999999999,5.5329999999999995,34.82,10.357999999999999,10.312000000000001,6.579,38.95,5.5329999999999995,34.82,0,0,0,0.0,0,0,3.95,0,0,0,0,0,0.04,0.05,0.01,19.748248805472578
10,118,133204,170,22,11.747,4.144,26.07,11.747,11.917,4.974,29.45,4.144,26.07,0,0,0,10.11,0,0,3.76,0,0,0,0,0,0.17,0.24,0.07,18.79720723049961
11,153,133336,71,7,11.937000000000001,3.9539999999999997,24.88,11.937000000000001,12.987,3.904,23.11,3.9539999999999997,24.88,0,0,0,0.0,0,0,3.0,0,0,0,0,0,0.62,1.0,0.39,18.74274491724642
12,128,133229,122,14,12.267999999999999,3.623,22.8,12.267999999999999,13.184000000000001,3.707,21.94,3.623,22.8,0,0,0,24.0,0,0,3.62,0,0,0,0,0,0.28,0.38,0.1,18.03210412290155
13,31,133022,179,23,1.197,2.693,69.23,1.197,4.084,3.695,47.5,2.693,69.23,0,0,0,4.234,0,0,3.94,0,0,0,0,0,0.05,0.06,0.01,17.420289290917253
14,73,133153,173,22,11.89,4.001,25.18,11.89,12.21,4.681,27.71,4.001,25.18,0,0,0,4.131,0,0,3.8,0,0,0,0,0,0.17,0.2,0.02,17.20619387586712
15,119,133444,102,12,11.867,4.024,25.32,11.867,12.17,4.721,27.95,4.024,25.32,0,0,0,0.0,0,0,3.83,0,0,0,0,0,0.11,0.17,0.07,17.173653229601864
16,12,133121,172,22,11.421,4.47,28.13,11.421,12.52,4.371,25.88,4.47,28.13,0,0,0,0.0,0,0,3.95,0,0,0,0,0,0.04,0.05,0.01,16.95176932395227
17,146,133418,155,20,11.800999999999998,4.09,25.74,11.800999999999998,12.455,4.436,26.26,4.09,25.74,0,0,0,0.0,0,0,3.66,0,0,0,0,0,0.08,0.34,0.26,16.3405921699138
18,142,133208,20,2,13.025,2.866,18.04,13.025,14.151,2.74,16.22,2.866,18.04,0,29,0,4.2669999999999995,0,0,3.03,0,0,0,0,0,0.76,0.97,0.21,15.986116452604021
19,135,133313,169,22,12.474,3.417,21.5,12.474,13.312000000000001,3.5789999999999997,21.19,3.417,21.5,0,0,0,0.0,0,0,3.54,0,0,0,0,0,0.33,0.46,0.13,15.799086750142157
20,150,133059,42,5,12.262,3.6289999999999996,22.83,12.262,13.261,3.63,21.49,3.6289999999999996,22.83,0,0,0,0.0,0,0,3.56,0,0,0,0,0,0.08,0.44,0.36,15.286529541887827
21,130,133137,95,11,12.056,3.8360000000000003,24.14,12.056,14.368,4.398,23.44,3.8360000000000003,24.14,0,0,0,3.375,0,0,3.62,0,0,0,0,0,0.27,0.38,0.11,15.232570554889367
22,102,133012,44,5,12.132,3.759,23.66,12.132,12.847999999999999,4.043,23.93,3.759,23.66,0,0,0,4.619,0,0,3.79,0,0,0,0,0,0.18,0.21,0.03,15.114297339958524
23,109,133041,180,23,12.299000000000001,3.592,22.6,12.299000000000001,13.44,3.451,20.43,3.592,22.6,0,0,0,3.5,0,0,3.81,0,0,0,0,0,0.15,0.19,0.04,14.881621638197368
24,115,133334,120,14,12.198,3.693,23.24,12.198,12.974,3.917,23.19,3.693,23.24,0,0,0,0.0,0,0,3.72,0,0,0,0,0,0.22,0.28,0.06,14.829651320689397
25,19,133343,127,15,11.72,4.171,26.25,11.72,12.802,4.0889999999999995,24.21,4.171,26.25,0,0,0,0.0,0,0,3.95,0,0,0,0,0,0.05,0.05,0.01,14.547822002055474
26,113,133310,5,1,12.104000000000001,3.787,23.83,12.104000000000001,12.84,4.051,23.98,3.787,23.83,0,0,0,0.0,0,0,3.68,0,0,0,0,0,0.27,0.32,0.05,14.49731360180809
27,121,133214,32,4,12.33,3.5610000000000004,22.41,12.33,12.470999999999998,4.42,26.17,3.5610000000000004,22.41,0,0,0,0.0,0,0,3.72,0,0,0,0,0,0.2,0.28,0.08,14.30416831437734
28,120,133313,97,11,11.927,3.964,24.94,11.927,12.604000000000001,4.287,25.38,3.964,24.94,0,0,0,0.0,0,0,3.71,0,0,0,0,0,0.21,0.29,0.07,14.242041096704783
29,127,133213,48,6,12.911,2.98,18.75,12.911,13.884,3.0069999999999997,17.8,2.98,18.75,0,0,0,18.404,0,0,3.51,0,0,0,0,0,0.39,0.49,0.1,14.239740420519512
30,141,133143,116,14,12.597000000000001,3.2939999999999996,20.73,12.597000000000001,13.630999999999998,3.26,19.3,3.2939999999999996,20.73,0,0,0,10.69,0,0,3.43,0,0,0,0,0,0.4,0.57,0.17,14.065747340875891
31,122,133338,181,23,12.24,3.6510000000000002,22.97,12.24,13.03,3.861,22.86,3.6510000000000002,22.97,0,0,0,0.0,0,0,3.71,0,0,0,0,0,0.21,0.29,0.08,14.051500070305751
32,132,133351,33,4,11.911,3.98,25.05,11.911,14.177999999999999,4.588,24.45,3.98,25.05,0,0,0,0.0,0,0,3.68,0,0,0,0,0,0.2,0.32,0.12,13.932979005856815
33,139,133422,98,11,12.937000000000001,2.9539999999999997,18.59,12.937000000000001,14.08,2.8110000000000004,16.64,2.9539999999999997,18.59,0,0,0,0.0,0,0,3.27,0,0,0,0,0,0.57,0.73,0.16,13.788489007081385
34,152,133054,45,5,12.539000000000001,3.352,21.09,12.539000000000001,13.655,3.236,19.16,3.352,21.09,0,0,0,0.0,0,0,3.58,0,0,0,0,0,0.05,0.42,0.38,13.483809180327338
35,147,133316,156,20,12.527999999999999,3.363,21.16,12.527999999999999,13.585,3.307,19.58,3.363,21.16,0,0,0,0.0,0,0,3.67,0,0,0,0,0,0.06,0.33,0.27,13.237146982567863
36,103,133030,38,4,12.385,3.5060000000000002,22.07,12.385,13.167,3.7239999999999998,22.05,3.5060000000000002,22.07,0,0,0,0.0,0,0,3.87,0,0,0,0,0,0.1,0.13,0.03,13.079703665855977
37,125,133333,104,12,12.707,3.1839999999999997,20.04,12.707,13.715,3.176,18.8,3.1839999999999997,20.04,0,0,0,20.0,0,0,3.68,0,0,0,0,0,0.23,0.32,0.09,12.950897011848308
38,154,133252,29,3,12.777999999999999,3.113,19.59,12.777999999999999,13.828,3.063,18.13,3.113,19.59,0,0,0,0.0,0,0,3.52,0,0,0,0,0,0.06,0.48,0.42,12.830037216288183
39,155,133242,26,3,12.626,3.265,20.55,12.626,13.651,3.24,19.18,3.265,20.55,0,0,0,0.0,0,0,3.29,0,0,0,0,0,0.1,0.71,0.61,12.042885788702446
40,148,133247,31,3,12.585,3.306,20.8,12.585,13.754000000000001,3.137,18.57,3.306,20.8,0,0,0,5.0,0,0,3.66,0,0,0,0,0,0.05,0.34,0.29,12.036371266043268
41,112,133021,37,4,12.738,3.153,19.84,12.738,13.876,3.015,17.85,3.153,19.84,0,0,0,3.125,0,0,3.79,0,0,0,0,0,0.17,0.21,0.05,11.974720011092241
42,149,133200,160,20,12.734000000000002,3.157,19.87,12.734000000000002,13.8,3.091,18.3,3.157,19.87,0,0,0,0.0,0,0,3.59,0,0,0,0,0,0.08,0.41,0.32,11.812330029713948
43,134,133110,131,16,13.290999999999999,2.6,16.36,13.290999999999999,14.290999999999999,2.6,15.4,2.6,16.36,0,0,0,0.0,0,0,3.48,0,0,0,0,0,0.4,0.52,0.12,11.679709400802647
44,129,133407,1,1,13.325,2.5660000000000003,16.15,13.325,14.312000000000001,2.5789999999999997,15.27,2.5660000000000003,16.15,0,0,0,9.333,0,0,3.5,0,0,0,0,0,0.39,0.5,0.11,11.58640493444255
45,101,133008,85,10,13.085999999999999,2.805,17.65,13.085999999999999,14.087,2.804,16.6,2.805,17.65,0,0,0,0.0,0,0,3.85,0,0,0,0,0,0.12,0.15,0.03,11.43880713536606
46,92,133225,60,7,11.952,3.9389999999999996,24.79,11.952,12.901,3.99,23.62,3.9389999999999996,24.79,0,0,0,3.875,0,0,3.94,0,0,0,0,0,0.04,0.06,0.02,11.356801124667829
47,138,133439,6,1,13.527999999999999,2.363,14.87,13.527999999999999,14.574000000000002,2.3169999999999997,13.72,2.363,14.87,0,0,0,0.0,0,0,3.31,0,0,0,0,0,0.56,0.69,0.14,11.24891068675653
48,100,133406,83,9,12.940999999999999,2.95,18.57,12.940999999999999,14.08,2.8110000000000004,16.64,2.95,18.57,0,0,0,12.0,0,0,3.84,0,0,0,0,0,0.14,0.16,0.03,11.126864552876738
