,Country,Happiness,LifeExpectancy,Footprint,HBOS,Heights
14,Botswana,4.7,48.1,3.6,1.9971990943138072,3.0769230769230775
1,Angola,4.3,41.7,0.9,1.485315733334933,10.0
3,Benin,3.0,55.4,1.0,1.485315733334933,10.0
18,Australia,7.9,80.9,7.8,1.3669119025005787,0.7692307692307693
17,Belgium,7.6,78.8,5.1,1.3669119025005787,0.7692307692307693
16,Austria,7.8,79.4,5.0,1.3669119025005787,0.7692307692307693
6,Bolivia,6.5,64.7,2.1,1.2552725051033053,3.333333333333333
4,Armenia,5.0,71.7,1.4,1.234083206033367,3.333333333333333
15,Belarus,5.8,68.7,3.9,0.8920946026904791,3.0769230769230775
0,Bangladesh,5.3,63.1,0.6,0.8832557420069708,10.0
7,Azerbaijan,5.3,67.1,2.2,0.7781512503836427,3.333333333333333
5,Algeria,5.6,71.7,1.7,0.7112044607530292,3.333333333333333
13,Bosnia and Herzegovina,5.9,74.5,2.9,0.6879746200345542,3.0769230769230775
12,Bulgaria,5.5,72.7,2.7,0.6667853209646164,3.0769230769230775
9,Brazil,7.6,71.7,2.4,0.6320232147054046,10.000000000000002
10,Argentina,7.1,74.8,2.5,0.5740312677277178,10.000000000000002
11,Belize,6.6,75.9,2.6,0.5740312677277178,10.000000000000002
2,Bhutan,6.1,64.7,1.0,0.3802112417116049,10.0
8,Albania,5.5,76.2,2.2,0.0969100130080554,10.000000000000002
