,X_timestamp,beat_hostname,enrichment_branch_name,system_memory_actual_free,system_memory_actual_used_bytes,system_memory_actual_used_pct,system_memory_free,system_memory_swap_free,system_memory_swap_used_bytes,system_memory_swap_used_pct,system_memory_used_bytes,system_memory_used_pct,HBOS
147,130157.671,115,14,11.505999999999998,4.385,27.6,11.505999999999998,12.089,4.802,28.43,4.385,27.6,20.61977714966588
144,130225.094,60,7,11.936,3.955,24.89,11.936,12.890999999999998,4.0,23.68,3.955,24.89,20.61977714966588
154,130252.865,136,17,10.006,5.885,37.04,10.006,9.011000000000001,7.88,46.65,5.885,37.04,20.61977714966588
153,130333.455,186,21,10.297,5.593999999999999,35.2,10.297,10.243,6.648,39.36,5.593999999999999,35.2,20.61977714966588
152,130237.6,86,10,10.481,5.41,34.05,10.481,12.444,6.322,33.69,5.41,34.05,20.61977714966588
151,130054.60800000001,80,9,10.854000000000001,5.037,31.69,10.854000000000001,10.544,6.347,37.58,5.037,31.69,20.61977714966588
150,130104.71699999999,76,8,11.047,4.843999999999999,30.48,11.047,12.058,4.833,28.61,4.843999999999999,30.48,20.61977714966588
149,130021.95800000001,41,5,11.104000000000001,4.788,30.13,11.104000000000001,12.6,6.166,32.86,4.788,30.13,20.61977714966588
148,130120.521,172,22,11.42,4.471,28.13,11.42,12.527999999999999,4.363,25.83,4.471,28.13,20.61977714966588
146,130343.41900000001,127,15,11.696,4.195,26.4,11.696,12.802999999999999,4.088,24.2,4.195,26.4,20.61977714966588
145,130328.972,174,22,11.818,4.073,25.63,11.818,12.93,3.9610000000000003,23.45,4.073,25.63,20.61977714966588
143,130335.97099999999,71,7,11.966,3.925,24.7,11.966,13.024000000000001,3.867,22.9,3.925,24.7,18.07665301361549
155,130021.69,179,23,1.1640000000000001,2.7260000000000004,70.07,1.1640000000000001,4.0489999999999995,3.7310000000000003,47.96,2.7260000000000004,70.07,17.738267468755055
142,130310.20599999999,5,1,12.052,3.839,24.16,12.052,12.767000000000001,4.124,24.42,3.839,24.16,16.082594618170205
141,130333.445,2,1,12.097999999999999,3.793,23.87,12.097999999999999,12.937000000000001,3.9539999999999997,23.41,3.793,23.87,13.168882649574115
137,130024.89,30,3,12.470999999999998,3.42,21.52,12.470999999999998,13.538,3.3539999999999996,19.85,3.42,21.52,12.41313917931539
130,130458.276,109,13,12.66,3.2310000000000003,20.33,12.66,13.67,3.221,19.07,3.2310000000000003,20.33,12.41313917931539
133,130125.98800000001,77,8,12.595999999999998,3.295,20.73,12.595999999999998,13.668,3.2230000000000003,19.08,3.295,20.73,12.41313917931539
131,130029.286,74,8,12.654000000000002,3.237,20.37,12.654000000000002,13.392999999999999,3.498,20.71,3.237,20.37,12.41313917931539
138,130058.076,114,13,12.442,3.449,21.7,12.442,13.497,3.3939999999999997,20.09,3.449,21.7,12.41313917931539
139,130125.304,28,3,12.314,3.577,22.51,12.314,12.977,3.9139999999999997,23.17,3.577,22.51,12.41313917931539
140,130447.46800000001,43,5,12.255,3.636,22.88,12.255,13.177999999999999,3.713,21.98,3.636,22.88,12.41313917931539
135,130125.545,191,21,12.537,3.3539999999999996,21.1,12.537,15.245999999999999,3.52,18.76,3.3539999999999996,21.1,12.084452406645628
136,130451.67800000001,158,20,12.532,3.359,21.13,12.532,15.511,3.255,17.35,3.359,21.13,11.997971921856504
134,130458.954,161,20,12.562000000000001,3.3289999999999997,20.95,12.562000000000001,15.554,3.2119999999999997,17.12,3.3289999999999997,20.95,11.481698543174694
132,130451.41900000001,103,12,12.599,3.292,20.72,12.599,13.720999999999998,3.17,18.77,3.292,20.72,10.957413932047265
129,130241.64300000001,26,3,12.663,3.228,20.31,12.663,13.658,3.233,19.14,3.228,20.31,10.369644830560663
128,130005.099,126,15,12.67,3.221,20.27,12.67,13.61,3.281,19.43,3.221,20.27,9.48679346388845
124,130153.25300000001,79,9,12.745,3.1460000000000004,19.79,12.745,13.7,3.1910000000000003,18.89,3.1460000000000004,19.79,8.970520085206639
123,130246.925,12,2,12.757,3.134,19.72,12.757,13.673,3.218,19.05,3.134,19.72,8.970520085206639
120,130128.25,4,1,12.821,3.07,19.32,12.821,15.689,3.077,16.4,3.07,19.32,8.555352827747754
116,130311.99,70,7,12.872,3.0189999999999997,19.0,12.872,15.731,3.035,16.17,3.0189999999999997,19.0,8.058517104211278
121,130058.746,42,5,12.788,3.103,19.53,12.788,13.735999999999999,3.155,18.68,3.103,19.53,8.031068216620323
117,130256.151,61,7,12.854000000000001,3.037,19.11,12.854000000000001,13.863,3.028,17.92,3.037,19.11,8.031068216620323
119,130251.632,29,3,12.833,3.0580000000000003,19.25,12.833,13.879000000000001,3.012,17.83,3.0580000000000003,19.25,8.031068216620323
122,130320.909,176,23,12.764000000000001,3.127,19.68,12.764000000000001,13.788,3.103,18.37,3.127,19.68,8.031068216620323
125,130325.793,106,13,12.727,3.1639999999999997,19.91,12.727,13.722999999999999,3.168,18.76,3.1639999999999997,19.91,8.031068216620323
126,130328.22099999999,130,16,12.708,3.1830000000000003,20.03,12.708,13.717,3.174,18.79,3.1830000000000003,20.03,8.031068216620323
127,130247.201,31,3,12.674000000000001,3.217,20.24,12.674000000000001,13.735999999999999,3.155,18.68,3.217,20.24,8.031068216620323
118,130111.604,121,14,12.844000000000001,3.0469999999999997,19.17,12.844000000000001,13.946,2.945,17.43,3.0469999999999997,19.17,8.00792841311206
101,130405.007,168,22,13.040999999999999,2.85,17.93,13.040999999999999,14.061,2.83,16.75,2.85,17.93,7.619438929824502
94,130331.209,34,4,13.142999999999999,2.748,17.29,13.142999999999999,14.068,2.823,16.71,2.748,17.29,7.619438929824502
113,130353.849,117,14,12.888,3.0039999999999996,18.9,12.888,15.76,3.0060000000000002,16.02,3.0039999999999996,18.9,7.589519747492365
111,130220.80699999999,91,11,12.89,3.0010000000000003,18.89,12.89,15.777000000000001,2.989,15.93,3.0010000000000003,18.89,7.589519747492365
107,130411.384,25,3,12.999,2.892,18.2,12.999,15.76,3.0060000000000002,16.02,2.892,18.2,7.589519747492365
99,130126.088,119,14,13.054,2.8369999999999997,17.86,13.054,14.14,2.7510000000000003,16.29,2.8369999999999997,17.86,7.566662874712908
97,130008.071,85,10,13.104000000000001,2.787,17.54,13.104000000000001,14.127,2.764,16.36,2.787,17.54,7.566662874712908
100,130310.74900000001,145,18,13.052999999999999,2.838,17.86,13.052999999999999,15.960999999999999,2.805,14.95,2.838,17.86,7.530700621335907
103,130227.51,51,6,13.030999999999999,2.86,18.0,13.030999999999999,14.102,2.7889999999999997,16.51,2.86,18.0,7.43755492168346
1,130214.38,32,4,13.668,2.2230000000000003,13.99,13.668,14.661,2.23,13.2,2.2230000000000003,13.99,7.427115449545834
0,130021.055,37,4,13.671,2.22,13.97,13.671,14.724,2.167,12.83,2.22,13.97,7.427115449545834
12,130203.19900000001,187,21,13.540999999999999,2.35,14.79,13.540999999999999,14.575,2.316,13.71,2.35,14.79,7.427115449545834
2,130402.022,184,21,13.636,2.255,14.19,13.636,14.579,2.312,13.69,2.255,14.19,7.427115449545834
11,130132.165,189,21,13.545,2.346,14.77,13.545,14.584000000000001,2.307,13.66,2.346,14.77,7.427115449545834
96,130427.877,182,23,13.123,2.7680000000000002,17.42,13.123,14.177999999999999,2.713,16.06,2.7680000000000002,17.42,7.424199793121076
91,130315.746,156,20,13.212,2.679,16.86,13.212,14.207,2.6839999999999997,15.89,2.679,16.86,7.424199793121076
93,130338.19300000001,181,23,13.189,2.702,17.0,13.189,14.232999999999999,2.658,15.73,2.702,17.0,7.424199793121076
102,130405.659,83,9,13.033,2.858,17.99,13.033,14.186,2.705,16.01,2.858,17.99,7.424199793121076
115,130055.59199999999,93,11,12.877,3.014,18.97,12.877,13.950999999999999,2.94,17.41,3.014,18.97,7.407864276962502
114,130228.677,122,14,12.880999999999998,3.01,18.94,12.880999999999998,13.946,2.945,17.43,3.01,18.94,7.407864276962502
112,130334.243,120,14,12.889000000000001,3.002,18.89,12.889000000000001,13.939,2.952,17.47,3.002,18.89,7.407864276962502
110,130127.07199999999,190,21,12.911,2.98,18.75,12.911,13.984000000000002,2.907,17.21,2.98,18.75,7.321383792173378
105,130345.116,185,22,13.004000000000001,2.887,18.17,13.004000000000001,13.997,2.8939999999999997,17.14,2.887,18.17,7.264264799222068
104,130200.183,177,23,13.023,2.8680000000000003,18.05,13.023,14.082,2.8089999999999997,16.63,2.8680000000000003,18.05,7.264264799222068
106,130052.821,118,14,13.001,2.89,18.18,13.001,15.892999999999999,2.873,15.31,2.89,18.18,7.228302545845068
