,X_timestamp,X_version,X_id,X_index,X_score,X_type,beat_hostname,beat_version,enrichment_branch_name,metricset_module,metricset_name,metricset_rtt,system_memory_actual_free,system_memory_actual_used_bytes,system_memory_actual_used_pct,system_memory_free,system_memory_swap_free,system_memory_swap_total,system_memory_swap_used_bytes,system_memory_swap_used_pct,system_memory_total,system_memory_used_bytes,system_memory_used_pct
17058,"December 18th 2018, 13:04:07.419",1,FYUBwmcBbOSZnM2xNtTK,metricbeat-000209,NA,doc,1,6.2.4,1,system,memory,,13.326,2.565,0.1614,13.326,14.312,16.891,2.579,0.1527,15.891,2.565,0.1614
16902,"December 18th 2018, 13:09:07.417",1,8e4CwmcBrehMbwjYETHL,metricbeat-000209,NA,doc,1,6.2.4,1,system,memory,,13.331,2.56,0.1611,13.331,14.3,16.891,2.591,0.1534,15.891,2.56,0.1611
16747,"December 18th 2018, 13:14:07.412",1,yp4owmcBX8H-MD0_LrGZ,metricbeat-000209,NA,doc,1,6.2.4,1,system,memory,,13.337,2.554,0.1607,13.337,14.321,16.891,2.57,0.1521,15.891,2.554,0.1607
16593,"December 18th 2018, 13:19:07.410",1,eRgOwmcBN4R-DFd1FzvX,metricbeat-000209,NA,doc,1,6.2.4,1,system,memory,,13.348,2.543,0.16,13.348,14.348,16.891,2.543,0.1505,15.891,2.543,0.16
16437,"December 18th 2018, 13:24:07.407",1,0FEOwmcBAOA7YPJG6nOM,metricbeat-000209,NA,doc,1,6.2.4,1,system,memory,116,13.345,2.546,0.1602,13.345,14.327,16.891,2.564,0.1518,15.891,2.546,0.1602
16282,"December 18th 2018, 13:29:07.400",1,kRwRwmcBN4R-DFd1JTnC,metricbeat-000209,NA,doc,1,6.2.4,1,system,memory,,13.329,2.562,0.1612,13.329,14.322,16.891,2.569,0.1521,15.891,2.562,0.1612
16127,"December 18th 2018, 13:34:07.410",1,2Ac0wmcBn_oGi6rssx2v,metricbeat-000209,NA,doc,1,6.2.4,1,system,memory,,13.325,2.566,0.1615,13.325,14.312,16.891,2.579,0.1527,15.891,2.566,0.1615
15971,"December 18th 2018, 13:39:07.407",1,d_gSwmcBrehMbwjYWJKi,metricbeat-000209,NA,doc,1,6.2.4,1,system,memory,119,12.71,3.181,0.2002,12.71,13.584,16.891,3.307,0.1958,15.891,3.181,0.2002
15815,"December 18th 2018, 13:44:07.399",1,gpgTwmcBX8H-MD0_tC73,metricbeat-000209,NA,doc,1,6.2.4,1,system,memory,,12.676,3.215,0.2023,12.676,13.574,16.891,3.317,0.1964,15.891,3.215,0.2023
15645,"December 18th 2018, 13:49:07.404",1,upUkwmcBbOSZnM2xA-iy,metricbeat-000209,NA,doc,1,6.2.4,1,system,memory,137,12.65,3.241,0.204,12.65,13.559,16.891,3.332,0.1972,15.891,3.241,0.204
