,X_timestamp,X_version,X_id,X_index,X_score,X_type,beat_hostname,beat_version,enrichment_branch_name,metricset_module,metricset_name,metricset_rtt,actual_free,actual_used_bytes,actual_used_pct,free,swap_free,swap_total,swap_used_bytes,swap_used_pct,total,used_bytes,used_pct
17058,"December 18th 2018, 13:04:07.419",1,FYUBwmcBbOSZnM2xNtTK,metricbeat-000209,NA,doc,1,6.2.4,1,system,memory,,13.326,2.565,0.1614,13.326,14.312,16.891,2.579,0.1527,15.891,2.565,0.1614
17080,"December 18th 2018, 13:03:33.445",1,UY0BwmcB6ZGVNHRkIWIP,metricbeat-000209,NA,doc,2,6.2.4,1,system,memory,,12.098,3.793,0.2387,12.098,12.937,16.891,3.954,0.2341,15.891,3.793,0.2387
17057,"December 18th 2018, 13:04:08.740",1,50sBwmcBAOA7YPJGeyuI,metricbeat-000209,NA,doc,3,6.2.4,1,system,memory,,13.304,2.587,0.1628,13.304,14.349,16.891,2.542,0.1505,15.891,2.587,0.1628
17145,"December 18th 2018, 13:01:28.250",1,cowAwmcB6ZGVNHRkvLOa,metricbeat-000209,NA,doc,4,6.2.4,1,system,memory,,12.821,3.07,0.1932,12.821,15.689,18.766,3.077,0.164,15.891,3.07,0.1932
17098,"December 18th 2018, 13:03:10.206",1,4lkfwmcBAOA7YPJGHtR0,metricbeat-000209,NA,doc,5,6.2.4,1,system,memory,,12.052,3.839,0.2416,12.052,12.767,16.891,4.124,0.2442,15.891,3.839,0.2416
17049,"December 18th 2018, 13:04:38.699",1,6oUBwmcBbOSZnM2xRPvP,metricbeat-000209,NA,doc,6,6.2.4,1,system,memory,,13.525,2.366,0.1489,13.525,14.552,16.891,2.339,0.1385,15.891,2.366,0.1489
17063,"December 18th 2018, 13:04:01.028",1,YR0kwmcBdDbnrhqkc3C8,metricbeat-000209,NA,doc,7,6.2.4,1,system,memory,175,13.191,2.7,0.1699,13.191,14.305,16.891,2.586,0.1531,15.891,2.7,0.1699
17069,"December 18th 2018, 13:03:49.409",1,t4oBwmcBX8H-MD0_cZZX,metricbeat-000209,NA,doc,8,6.2.4,1,system,memory,,13.42,2.471,0.1555,13.42,14.462,16.891,2.43,0.1438,15.891,2.471,0.1555
17107,"December 18th 2018, 13:02:46.925",1,p-cBwmcBxOZ1qs_pSG_f,metricbeat-000209,NA,doc,12,6.2.4,2,system,memory,,12.757,3.134,0.1972,12.757,13.673,16.891,3.218,0.1905,15.891,3.134,0.1972
17140,"December 18th 2018, 13:01:38.981",1,SusAwmcBrehMbwjYwryu,metricbeat-000209,NA,doc,14,6.2.4,2,system,memory,,13.314,2.578,0.1622,13.314,14.336,16.891,2.555,0.1513,15.891,2.578,0.1622
