,X.timestamp,X.version,X_id,X_index,X_score,X_type,beat.hostname,beat.version,enrichment.branch.name,metricset.module,metricset.name,metricset.rtt,system.network.in.bytes,system.network.in.dropped,system.network.in.errors,system.network.in.packets,system.network.name,system.network.out.bytes,system.network.out.dropped,system.network.out.errors,system.network.out.packets
3,"December 18th 2018, 21:59:58.069",1,RqdVw2cBuqt-6aA3NN6M,metricbeat-000210,NA,doc,109,6.2.4,13,system,network,792,182.642MB,0,0,"454,458",Ethernet,149.203MB,0,0,"479,287"
5,"December 18th 2018, 21:59:51.605",1,GTxVw2cBn_oGi6rsGQ5X,metricbeat-000210,NA,doc,72,6.2.4,8,system,network,"3,966",283.16MB,0,0,"671,707",Ethernet,189.54MB,0,0,"711,624"
9,"December 18th 2018, 21:59:50.638",1,KGVVw2cBN4R-DFd1IUyP,metricbeat-000210,NA,doc,103,6.2.4,12,system,network,"3,893",330.35MB,0,0,"752,740",Ethernet,203.684MB,0,0,"805,992"
11,"December 18th 2018, 21:59:50.296",1,hTlVw2cBxOZ1qs_pErj0,metricbeat-000210,NA,doc,101,6.2.4,12,system,network,"3,041",8.479MB,0,0,"16,748",Ethernet,4.566MB,0,0,"16,722"
14,"December 18th 2018, 21:59:47.599",1,3mVVw2cBN4R-DFd1CDyB,metricbeat-000210,NA,doc,43,6.2.4,5,system,network,"1,002",35.221MB,0,0,"73,991",Ethernet,24.429MB,0,0,"77,371"
16,"December 18th 2018, 21:59:43.656",1,xeBUw2cB6ZGVNHRk_zn6,metricbeat-000210,NA,doc,160,6.2.4,20,system,network,"4,031",10.072MB,0,0,"20,154",Ethernet,4.547MB,0,0,"19,683"
21,"December 18th 2018, 21:59:38.780",1,2ttUw2cBX8H-MD0_5g-F,metricbeat-000210,NA,doc,102,6.2.4,12,system,network,"2,895",9.892MB,0,0,"18,523",Ethernet,4.146MB,0,0,"17,804"
23,"December 18th 2018, 21:59:38.384",1,8zxVw2cBn_oGi6rsRS0V,metricbeat-000210,NA,doc,99,6.2.4,12,system,network,"17,952",416B,0,0,6,Ethernet,3.891KB,0,0,0
27,"December 18th 2018, 21:59:34.886",1,419Uw2cBdDbnrhqk24ev,metricbeat-000210,NA,doc,152,6.2.4,19,system,network,"3,053",6.522MB,0,0,"11,736",Ethernet,2.684MB,0,0,"11,479"
29,"December 18th 2018, 21:59:33.941",1,hV9Uw2cBdDbnrhqk04Fp,metricbeat-000210,NA,doc,175,6.2.4,22,system,network,"1,000",248.367MB,0,0,"400,667",Ethernet,100.772MB,0,0,"383,166"
32,"December 18th 2018, 21:59:33.093",1,fTlUw2cBxOZ1qs_p0IqB,metricbeat-000210,NA,doc,6,6.2.4,1,system,network,"2,813",9.869MB,0,0,"19,664",Ethernet,4.388MB,0,0,"19,185"
36,"December 18th 2018, 21:59:30.801",1,tT9Uw2cBrehMbwjYyaIY,metricbeat-000210,NA,doc,133,6.2.4,16,system,network,"4,014",4.366MB,0,0,"10,001",Ethernet,2.587MB,0,0,"9,962"
37,"December 18th 2018, 21:59:27.751",1,_TlUw2cBxOZ1qs_pu3iN,metricbeat-000210,NA,doc,182,6.2.4,23,system,network,"3,039",420.833MB,0,0,"836,584",Ethernet,247.947MB,0,0,"865,424"
41,"December 18th 2018, 21:59:27.526",1,8DtUw2cBn_oGi6rsu8I9,metricbeat-000210,NA,doc,150,6.2.4,19,system,network,"3,154",10.161MB,0,0,"20,586",Ethernet,5.71MB,0,0,"20,984"
