,X.timestamp,X.version,X_id,X_index,X_score,X_type,beat.hostname,beat.version,enrichment.branch.name,metricset.module,metricset.name,metricset.rtt,system.network.in.bytes,system.network.in.dropped,system.network.in.errors,system.network.in.packets,system.network.name,system.network.out.bytes,system.network.out.dropped,system.network.out.errors,system.network.out.packets
38481,"December 18th 2018, 15:19:07.387",1,yrQ7wmcBX8H-MD0_j--F,metricbeat-000209,NA,doc,1,6.2.4,1,system,network,974,77.879MB,0,0,"168,185",Ethernet,48.87MB,0,0,"182,219"
38549,"December 18th 2018, 15:18:33.449",1,jxU7wmcBn_oGi6rs0JmU,metricbeat-000209,NA,doc,2,6.2.4,1,system,network,"1,483",879.987MB,199,0,"1,555,657",Ethernet,398.462MB,0,0,"1,527,209"
38479,"December 18th 2018, 15:19:08.671",1,ILU7wmcBX8H-MD0_-Ozg,metricbeat-000209,NA,doc,3,6.2.4,1,system,network,"1,025",332.1MB,0,0,"803,093",Ethernet,221.349MB,0,0,"858,204"
38270,"December 18th 2018, 15:21:27.953",1,wxg7wmcBrehMbwjYuhg7,metricbeat-000209,NA,doc,4,6.2.4,1,system,network,"1,024",2.677GB,0,0,"3,199,694",Ethernet,573.534MB,0,0,"2,496,526"
38597,"December 18th 2018, 15:18:10.222",1,1hE7wmcBxOZ1qs_pfs4G,metricbeat-000209,NA,doc,5,6.2.4,1,system,network,"4,023",398.389MB,0,0,"785,250",Ethernet,208.203MB,0,0,"839,210"
38455,"December 18th 2018, 15:19:38.615",1,GXY8wmcBAOA7YPJGAGrB,metricbeat-000209,NA,doc,6,6.2.4,1,system,network,"2,832",63.941MB,0,0,"142,979",Ethernet,43.327MB,0,0,"162,205"
38500,"December 18th 2018, 15:19:01.075",1,VBc7wmcBrehMbwjYjoJb,metricbeat-000209,NA,doc,7,6.2.4,1,system,network,"3,048",336.821MB,0,0,"777,354",Ethernet,221.959MB,0,0,"879,089"
38519,"December 18th 2018, 15:18:49.374",1,qLA7wmcBbOSZnM2xiv5z,metricbeat-000209,NA,doc,8,6.2.4,1,system,network,"3,042",60.304MB,0,0,"125,786",Ethernet,32.735MB,0,0,"134,727"
38626,"December 18th 2018, 15:17:46.876",1,bLU7wmcBX8H-MD0_uHc5,metricbeat-000209,NA,doc,12,6.2.4,2,system,network,"4,041",840.93MB,0,0,"1,538,972",Ethernet,433.684MB,0,0,"1,563,804"
38252,"December 18th 2018, 15:21:38.989",1,oIE8wmcBuqt-6aA3Kl47,metricbeat-000209,NA,doc,14,6.2.4,2,system,network,997,273.745MB,0,0,"641,705",Ethernet,191.134MB,0,0,"688,575"
38205,"December 18th 2018, 15:22:08.082",1,_dNUwmcB6ZGVNHRkoJOK,metricbeat-000209,NA,doc,20,6.2.4,2,system,network,"4,837",89.63MB,0,0,"179,927",Ethernet,50.259MB,0,0,"187,883"
38633,"December 18th 2018, 15:17:41.151",1,ghE7wmcBxOZ1qs_pdahp,metricbeat-000209,NA,doc,21,6.2.4,2,system,network,"3,041",104.412MB,0,0,"254,224",Ethernet,98.938MB,0,0,"343,383"
38267,"December 18th 2018, 15:21:28.181",1,zT88wmcBN4R-DFd1JS0s,metricbeat-000209,NA,doc,22,6.2.4,2,system,network,"3,851",371.068MB,0,0,"879,327",Ethernet,250.756MB,0,0,"956,044"
38262,"December 18th 2018, 15:21:34.419",1,kj47wmcBN4R-DFd1vD59,metricbeat-000209,NA,doc,23,6.2.4,2,system,network,"1,032",77.135MB,0,0,"161,670",Ethernet,49.73MB,0,0,"175,282"
38493,"December 18th 2018, 15:19:02.275",1,JbI7wmcBbOSZnM2x9AfR,metricbeat-000209,NA,doc,24,6.2.4,2,system,network,"3,054",215.653MB,0,0,"516,129",Ethernet,150.334MB,0,0,"571,140"
38475,"December 18th 2018, 15:19:11.328",1,TSxTwmcBxOZ1qs_p6bAL,metricbeat-000209,NA,doc,25,6.2.4,3,system,network,"3,036",114.806MB,0,0,"321,047",Ethernet,154.185MB,0,0,"412,068"
38631,"December 18th 2018, 15:17:41.384",1,CD47wmcBN4R-DFd1tS7x,metricbeat-000209,NA,doc,26,6.2.4,3,system,network,997,108.458MB,0,0,"204,220",Ethernet,55.076MB,0,0,"204,565"
38613,"December 18th 2018, 15:17:53.176",1,xBU7wmcBn_oGi6rsu2aJ,metricbeat-000209,NA,doc,27,6.2.4,3,system,network,"2,008",65.358MB,0,0,"141,664",Ethernet,36.702MB,0,0,"148,642"
38290,"December 18th 2018, 15:21:25.260",1,AbI8wmcBbOSZnM2xIaXg,metricbeat-000209,NA,doc,28,6.2.4,3,system,network,"3,885",3.958GB,0,0,"5,963,569",Ethernet,1.463GB,0,0,"5,513,644"
38619,"December 18th 2018, 15:17:51.603",1,fTg7wmcBdDbnrhqku8Ug,metricbeat-000209,NA,doc,29,6.2.4,3,system,network,"2,041",74.327MB,0,0,"162,075",Ethernet,43.771MB,0,0,"169,503"
38349,"December 18th 2018, 15:20:50.733",1,DRM8wmcBxOZ1qs_pFH6I,metricbeat-000209,NA,doc,30,6.2.4,3,system,network,"3,050",15.502MB,0,0,"31,130",Ethernet,7.293MB,0,0,"31,163"
38622,"December 18th 2018, 15:17:47.323",1,alJTwmcBdDbnrhqklTi_,metricbeat-000209,NA,doc,31,6.2.4,3,system,network,"2,064",301.164MB,0,0,"692,762",Ethernet,186.217MB,0,0,"737,915"
38194,"December 18th 2018, 15:22:14.310",1,zjg7wmcBdDbnrhqkz_-X,metricbeat-000209,NA,doc,32,6.2.4,4,system,network,"2,837",93.021MB,0,0,"191,131",Ethernet,52.193MB,0,0,"198,247"
38514,"December 18th 2018, 15:18:50.372",1,04A7wmcBuqt-6aA357Nf,metricbeat-000209,NA,doc,33,6.2.4,4,system,network,"1,839",84.293MB,0,0,"150,651",Ethernet,40.956MB,0,0,"143,889"
38555,"December 18th 2018, 15:18:31.401",1,4Tg7wmcBdDbnrhqkz_15,metricbeat-000209,NA,doc,34,6.2.4,4,system,network,"3,172",1.219GB,0,0,"1,133,831",Ethernet,215.514MB,0,0,"847,467"
38346,"December 18th 2018, 15:20:51.395",1,SxU7wmcBn_oGi6rsrT-L,metricbeat-000209,NA,doc,35,6.2.4,4,system,network,"2,883",67.614MB,0,0,"148,415",Ethernet,40.015MB,0,0,"157,256"
38380,"December 18th 2018, 15:20:24.657",1,Ez48wmcBN4R-DFd1C-qW,metricbeat-000209,NA,doc,36,6.2.4,4,system,network,"2,995",287.949MB,0,0,"653,816",Ethernet,174.277MB,0,0,"694,731"
38393,"December 18th 2018, 15:20:20.986",1,f4A7wmcBuqt-6aA3pB3V,metricbeat-000209,NA,doc,37,6.2.4,4,system,network,"5,351",71.406MB,0,0,"154,177",Ethernet,42.505MB,0,0,"163,584"
38374,"December 18th 2018, 15:20:30.293",1,7FhUwmcBN4R-DFd1JcHo,metricbeat-000209,NA,doc,38,6.2.4,4,system,network,"3,025",82.75MB,0,0,"174,267",Ethernet,50.81MB,0,0,"181,884"
35622,"December 18th 2018, 15:49:02.897",1,xjxfwmcBrehMbwjYOX90,metricbeat-000209,NA,doc,39,6.2.4,4,system,network,"43,747",56.951KB,0,0,195,Ethernet,84.353KB,0,0,177
38254,"December 18th 2018, 15:21:38.209",1,1ppUwmcBuqt-6aA3Wt10,metricbeat-000209,NA,doc,40,6.2.4,4,system,network,"1,008",65.112MB,0,0,"143,656",Ethernet,42.673MB,0,0,"151,700"
38386,"December 18th 2018, 15:20:21.959",1,CoE8wmcBuqt-6aA3Cw4D,metricbeat-000209,NA,doc,41,6.2.4,5,system,network,997,607.798MB,0,0,"1,142,625",Ethernet,337.016MB,0,0,"1,160,940"
38329,"December 18th 2018, 15:20:58.634",1,hrk8wmcB6ZGVNHRkFa7g,metricbeat-000209,NA,doc,42,6.2.4,5,system,network,"4,008",780.479MB,0,0,"1,524,876",Ethernet,425.734MB,0,0,"1,535,693"
19842,"December 18th 2018, 18:34:47.453",1,YumZwmcBuqt-6aA3WS7K,metricbeat-000210,NA,doc,43,6.2.4,5,system,network,"3,043",4.106MB,0,0,"8,463",Ethernet,6.234MB,0,0,"10,519"
38411,"December 18th 2018, 15:20:12.136",1,31NUwmcBdDbnrhqkHB3x,metricbeat-000209,NA,doc,44,6.2.4,5,system,network,"1,502",80.609MB,0,0,"169,845",Ethernet,48.368MB,0,0,"177,282"
38504,"December 18th 2018, 15:18:55.357",1,K4A7wmcBuqt-6aA37Llt,metricbeat-000209,NA,doc,45,6.2.4,5,system,network,"4,024",6.577MB,0,0,"12,523",Ethernet,3.909MB,0,0,"13,040"
38583,"December 18th 2018, 15:18:17.970",1,YDFTwmcBrehMbwjYv4tE,metricbeat-000209,NA,doc,46,6.2.4,5,system,network,"3,993",26.584MB,0,0,"47,770",Ethernet,13.858MB,0,0,"48,732"
38463,"December 18th 2018, 15:19:22.955",1,yDFTwmcBrehMbwjY-PV1,metricbeat-000209,NA,doc,47,6.2.4,5,system,network,997,68.428MB,0,0,"150,511",Ethernet,41.365MB,0,0,"159,249"
38198,"December 18th 2018, 15:22:13.508",1,qxk8wmcBrehMbwjYTVXF,metricbeat-000209,NA,doc,48,6.2.4,6,system,network,"1,002",88.517MB,0,0,"179,844",Ethernet,60.859MB,0,0,"195,895"
38416,"December 18th 2018, 15:20:09.944",1,8bU7wmcBX8H-MD0_oi-i,metricbeat-000209,NA,doc,49,6.2.4,6,system,network,"1,002",215.632MB,0,0,"505,672",Ethernet,144.023MB,0,0,"535,823"
38617,"December 18th 2018, 15:17:51.991",1,MoA7wmcBuqt-6aA3u2Ma,metricbeat-000209,NA,doc,50,6.2.4,6,system,network,"2,884",90.154MB,0,0,"211,558",Ethernet,58.971MB,0,0,"222,358"
38655,"December 18th 2018, 15:17:27.521",1,UlJTwmcBdDbnrhqkcxVv,metricbeat-000209,NA,doc,51,6.2.4,6,system,network,"1,010",319.764MB,0,0,"735,198",Ethernet,233.569MB,0,0,"793,026"
38468,"December 18th 2018, 15:19:21.359",1,u1JTwmcBdDbnrhqk99Zw,metricbeat-000209,NA,doc,52,6.2.4,6,system,network,"4,036",83.497MB,0,0,"201,479",Ethernet,56.094MB,0,0,"216,221"
38650,"December 18th 2018, 15:17:37.095",1,bo9TwmcBAOA7YPJGhEAQ,metricbeat-000209,NA,doc,53,6.2.4,6,system,network,"1,976",81.577MB,0,0,"183,869",Ethernet,50.455MB,0,0,"200,592"
38580,"December 18th 2018, 15:18:19.875",1,wY9TwmcBAOA7YPJGwYuR,metricbeat-000209,NA,doc,54,6.2.4,6,system,network,"2,990",61.463MB,0,0,"148,834",Ethernet,65.533MB,0,0,"172,464"
38528,"December 18th 2018, 15:18:43.313",1,oX87wmcBuqt-6aA3iK_8,metricbeat-000209,NA,doc,55,6.2.4,6,system,network,"4,193",103.72MB,0,0,"243,559",Ethernet,67.894MB,0,0,"258,396"
