X_timestamp,beat_hostname,enrichment_branch_name,system_memory_actual_free,system_memory_actual_used_bytes,system_memory_actual_used_pct,system_memory_free,system_memory_swap_free,system_memory_swap_used_bytes,system_memory_swap_used_pct,system_memory_used_bytes
131005.099,126,15,12.675,3.216,20.24,12.675,13.617,3.274,19.39,3.216
131008.059,85,10,13.104,2.788,17.54,13.104,14.129,2.762,16.35,2.788
131010.114,49,6,13.383,2.508,15.78,13.383,14.35,2.541,15.04,2.508
131012.2,44,5,12.262,3.629,22.84,12.262,13.013,3.878,22.96,3.629
131012.587,132,16,13.391,2.5,15.73,13.391,14.479,2.412,14.28,2.5
131013.222,108,13,13.467,2.424,15.25,13.467,14.466,2.425,14.35,2.424
131015.874,149,19,13.274,2.617,16.47,13.274,14.303,2.588,15.32,2.617
131018.034,135,16,13.39,2.501,15.74,13.39,14.446,2.445,14.47,2.501
131021.044,37,4,13.674,2.217,13.95,13.674,14.75,2.141,12.68,2.217
131021.696,179,23,1.179,2.712,69.7,1.179,4.064,3.715,47.76,2.712
131021.957,41,5,11.061,4.83,30.39,11.061,12.808,5.958,31.75,4.83
131023.366,125,15,13.46,2.431,15.3,13.46,14.533,2.358,13.96,2.431
131024.638,36,4,13.253,2.638,16.6,13.253,14.376,2.515,14.89,2.638
131029.28,74,8,12.638,3.253,20.47,12.638,13.378,3.513,20.8,3.253
131030.351,38,4,13.521,2.37,14.91,13.521,14.584,2.307,13.66,2.37
131030.48,107,13,13.456,2.435,15.33,13.456,14.405,2.486,14.72,2.435
131034.37,68,7,13.386,2.505,15.77,13.386,14.427,2.464,14.59,2.505
131037.193,101,12,13.476,2.415,15.2,13.476,14.47,2.421,14.33,2.415
131040.608,180,23,12.954,2.937,18.48,12.954,14.093,2.798,16.57,2.937
131046.93,82,9,13.498,2.393,15.06,13.498,16.41,2.356,12.55,2.393
131048.159,143,18,13.444,2.447,15.4,13.444,14.437,2.454,14.53,2.447
131048.565,46,5,12.623,3.268,20.57,12.623,13.704,3.187,18.87,3.268
131050.717,30,3,13.436,2.455,15.45,13.436,14.421,2.47,14.62,2.455
131051.362,35,4,13.383,2.508,15.78,13.383,14.473,2.418,14.32,2.508
131052.81,118,14,13.001,2.89,18.18,13.001,15.907,2.859,15.23,2.89
131053.966,45,5,12.551,3.34,21.02,12.551,13.645,3.246,19.22,3.34
131054.601,80,9,10.835,5.056,31.82,10.835,10.55,6.341,37.54,5.056
131055.616,93,11,12.862,3.029,19.06,12.862,13.932,2.959,17.52,3.029
131058.076,114,13,12.43,3.461,21.78,12.43,13.485,3.406,20.17,3.461
131058.728,42,5,12.21,3.681,23.16,12.21,13.187,3.704,21.93,3.681
131104.738,76,8,11.122,4.769,30.01,11.122,12.128,4.763,28.2,4.769
131106.12,153,19,13.543,2.348,14.77,13.543,14.568,2.323,13.76,2.348
131107.282,99,12,13.427,2.464,15.5,13.427,14.428,2.463,14.58,2.464
131110.104,131,16,13.291,2.6,16.36,13.291,14.296,2.595,15.36,2.6
131111.607,121,14,12.827,3.064,19.28,12.827,13.917,2.974,17.61,3.064
