X_timestamp,beat_hostname,enrichment_branch_name,system_cpu_cores,system_cpu_idle_pct,system_cpu_system_pct,system_cpu_total_pct,system_cpu_user_pct
13.04.07,1,1,4,3.9343,0.0375,0.0657,0.0282
13.03.33,2,1,4,3.9163,0.0707,0.0837,0.0130
13.04.09,3,1,4,3.9390,0.0419,0.0610,0.0191
13.01.28,4,1,4,3.9623,0.0282,0.0377,0.0095
13.03.10,5,1,4,3.9129,0.0710,0.0871,0.0161
13.04.39,6,1,4,3.9308,0.0573,0.0692,0.0119
13.04.01,7,1,4,3.9263,0.0634,0.0737,0.0103
13.03.49,8,1,4,3.9712,0.0228,0.0288,0.0060
13.02.47,12,2,4,3.9478,0.0417,0.0522,0.0106
13.01.39,14,2,4,3.9801,0.0158,0.0199,0.0042
13.02.08,20,2,4,3.9035,0.0798,0.0965,0.0166
13.02.41,21,2,4,3.9409,0.0311,0.0591,0.0280
13.01.28,22,2,4,3.9561,0.0306,0.0439,0.0133
13.01.34,23,2,4,3.9310,0.0581,0.0690,0.0109
13.04.02,24,2,4,3.9635,0.0227,0.0365,0.0138
13.04.11,25,3,4,3.9624,0.0295,0.0376,0.0081
13.02.42,26,3,4,3.4217,0.4535,0.5783,0.1248
13.02.53,27,3,4,3.9465,0.0453,0.0535,0.0083
13.01.25,28,3,4,3.9294,0.0567,0.0706,0.0140
13.02.52,29,3,4,3.4538,0.4340,0.5462,0.1123
13.00.25,30,3,4,3.6124,0.3029,0.3876,0.0846
13.02.47,31,3,4,3.4773,0.4091,0.5227,0.1136
13.02.14,32,4,4,3.9835,0.0121,0.0165,0.0044
13.03.51,33,4,4,3.8533,0.1166,0.1467,0.0301
13.03.31,34,4,4,3.9764,0.0183,0.0236,0.0054
13.00.51,35,4,4,3.9506,0.0417,0.0494,0.0077
13.00.25,36,4,4,3.8214,0.1591,0.1786,0.0195
13.00.21,37,4,4,3.9372,0.0511,0.0628,0.0117
13.00.30,38,4,4,3.9564,0.0362,0.0436,0.0074
15.49.03,39,4,4,0.0000,0.0000,0.0000,0.0000
13.01.38,40,4,4,3.9410,0.0488,0.0590,0.0102
13.00.22,41,5,4,3.9322,0.0526,0.0678,0.0152
13.00.59,42,5,4,3.9589,0.0292,0.0411,0.0120
13.04.47,43,5,4,3.9275,0.0625,0.0725,0.0100
13.00.12,44,5,4,3.9178,0.0714,0.0822,0.0108
13.00.54,45,5,4,3.9671,0.0260,0.0329,0.0069
